District,villageName,taluka,institutionType,organisationName,solarDemand
Sangli,Uthagi,Jat,School,Sadashiv kesuray payil,10kW+
Sangli,Pawarvasti Sheri Lamantanda Uthagi,Jat,School,Zilla parishad Marathi School Pawarvasti Sheri Lamantanda Uthagi,5kW
Sangli,Morabagi ,Jat,School,Zilla parishad Primary Kannada School Morbagi  ,5kW
Sangli,Burli ,????,Health Subcenter,Aayushman aarogya Mandir,3kW
Sangli,Sapthal Vasti Antral ,Jat,School,Zilla Parishad school Sapthal Vasti ,3kW
Sangli,Nagaon,Walwa,School,Zilla parishad school Nagaon,5kW
Sangli,Borgi ,Jat,Health Subcenter,Aayushman aarogya Borgi ,5kW
Sangli,Shivajinagar (Waifale),Jat,School,Zilla Parishad school  Shivajinagar Waifale ,4kW
Sangli,Khanapur,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Khanapur Taluka Khanapur Sangli,3kW
Sangli,Arag Taluka Miraj,Miraj,School,Zilla parishad school Gokulnagar Arag ,2kW
Sangli,Kakachiwadi ,Walwa,School,Zilla parishad school Kakachiwadi ,5kW
Sangli,Ghanwad,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 2 Ghanwad ,3kW
Sangli,Atpadi,Atpadi,Primary Health Center,Primary Arogya Center Atpadi,10kW
Sangli,Utagi,Jat,School,Zilla parishad Primary Urdu School Utagi,10kW+
Sangli,Lengare,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Lengre,5kW
Sangli,Karoli t,Kavthe Mahankal,Veterinary Hospital,Veterinary Dispensary Grade 1 Karoli ,3kW
Sangli,Vajegaon,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Vajegaon,3kW
Sangli,Nagaj,Kavthe Mahankal,Veterinary Hospital,Veterinary Dispensary Gr 2 Nagaj,2kW
Sangli,Amnapur ,????,Health Subcenter,Amnapur ,3kW
Sangli,"Bahadurwadi Taluka-Walwa ,Sangli",Walwa,School,"Zilla parishad school Bahudurwadi No.1 Taluka Walwa, Sangli",3kW
Sangli,Karnal ,Miraj,Health Subcenter,Aayushman aarogya Mandir Karnal ,3kW
Sangli,Uthagi,Jat,School,Zilla parishad Primary Kalali Vasti Uthagi ,4kW
Sangli,Uthagi,Jat,School,Zilla Parishad ,10kW+
Sangli,Wakurde Budruk,Shirala,School,Zilla Parishad School Wakurde Budruk ,3kW
Sangli,Arag ,Miraj,School,Zilla Parishad School Gaikwad Chavhan Mala Arag ,2kW
Sangli,Subhashnagar (Malgaon),Miraj,School,Zilla Parishad School No. 1 Subhashnagar  ,2kW
Sangli,Shetfale,Atpadi,School,Zilla Parishad School Patilmala ,2kW
Sangli,Dighanchi,Atpadi,Primary Health Center,Primary Health Center Dighanchi,10kW
Sangli,Kolge ,Tasgaon,School,Zilla Parishad School Kolge ,5kW
Sangli,Kande,Shirala,Health Subcenter,Aayushman aarogya Mandir Kande,3kW
Sangli,Kamtvasti Ni.Bu.,Jat,School,Zilla Parishad Marathi School Kamtvasti ,7kW
Sangli,Budhgaon,Miraj,School,Zilla Parishad School No.1 Budhgaon,3kW
Sangli,Nimbavde (Anusewadi ),Atpadi,School,Zilla Parishad School Anusewadi ,4kW
Sangli,Tanang,Miraj,School,Z P School Tanang ,3kW
Sangli,Wategaon,Walwa,School,  ZP School Vitthal Nagar Khori ,7kW
Sangli,Awaralvasti Morabagi ,Jat,School,Z P Primary Kannada School Awaralvasti Morabagi ,10kW
Sangli,Arag,Miraj,School,Zilla Parishad School Landgewadi Arag,2kW
Sangli,"Malwadi,Arag",Miraj,School,Zilla Parishad School Ramnagar ,4kW
Sangli,Bhilawdi ,????,Primary Health Center,Bhilawdi phc,3kW
Sangli,Punwat ,Shirala,Health Subcenter,Arogya Sub Center Punwat  ,5kW
Sangli,Ramnagar k,Miraj,School,Zilla Parishad School Ramnagar ,4kW
Sangli,Palshi,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Palshi     ,4kW
Sangli,Natoli,Shirala,Health Subcenter,Arogya Sub Center Natoli ,5kW
Sangli,Malgaon ,Miraj,Health Subcenter,sc malgaon 1,10kW+
Sangli,Chikli,Shirala,Health Subcenter,Arogya Sub Center Chikli ,5kW
Sangli,Waghmodewadi ( Revnal),Jat,School,Zilla Parishad School Wagmodewadi Revnal ,2kW
Sangli,Antral,Jat,School,Zilla Parishad School Antral ,4kW
Sangli,Utagi ,Jat,School,Z. P. Primary Kannada School Katte Vasti Utagi ,10kW
Sangli,Revulamantada Maniknal ,Jat,School,Z p p. Kannada school Revulamantada Maniknal ,5kW
Sangli,Mangrul ,Shirala,Health Subcenter,Ayushman Arogya Mandir  Sub Center Mangrul ,3kW
Sangli,Gavhan,Tasgaon,School,Zilla Parishad School Gavhan ,7kW
Sangli,Ankli,Miraj,School,Zilla Parishad School Ankli,10kW
Sangli, Aalsand ,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Aalsand,4kW
Sangli,Girgaon,Jat,School,Z P Primary Kannada School Dhumal Vasti Girgaon ,10kW
Sangli,Mardwadi ,Atpadi,School,Zilla Parishad School  Pinjarivasti ,2kW
Sangli,Manikanal,Jat,School,Z p primary kannada school manikanal ,7kW
Sangli,Madalgaon,Shirala,School,Zilla Parishad School Madalgaon  ,3kW
Sangli,Bhavaninagar ( Chinchani),Tasgaon,School,Zilla Parishad School Bhavaninagar ,2kW
Sangli,Siddhewadi,Miraj,School,Z.p. school siddhewadi,4kW
Sangli,Akalwadi,Jat,School,Z p primary kannada school Akalwadi ,10kW
Sangli,Bastawde ,Tasgaon,Veterinary Hospital,Veterinary Dispensary Grade 2,10kW+
Sangli,Shirasi,Shirala,Primary Health Center,Primary Health Centre Shirasi,10kW
Sangli,Nigadi ,Shirala,Health Subcenter,Hwc nigadi phc antri bk shirala ,7kW
Sangli,Valsang,Jat,Veterinary Hospital,Veterinary Dispensary Grade 1  Valsang ,5kW
Sangli,Manerajuri,Tasgaon,Veterinary Hospital,Veterinary Dispensary Grade 1  Manerajuri,3kW
Sangli,Gundagewadi,Shirala,School,Jilha parishad shala gundagewadi,2kW
Sangli,Valsang,Jat,Veterinary Hospital,Veterinary Dispensary Grade 2 Valsang ,5kW
Sangli,Khotwadi Kharale ,Shirala,School,Zilla Parishad School Khotwadi Kharale ,2kW
Sangli,Sankh,Jat,School,Zilla Parishad Primary Marathi School Jathivasti Sankh,5kW
Sangli,Hatnur,Tasgaon,Veterinary Hospital,"Veterinary Dispensary Grade 1 Hatnur Taluka Tasagon, Sangli",10kW
Sangli,Bhilwadi ,????,School,"Z.P.School,Bhilwadi",10kW+
Sangli,Chinchani,Tasgaon,School,Zilla Parishad Primary Karkhanamala ,2kW
Sangli,Dighanchi,Atpadi,School,Zilla Parishad School Nalvasti ,2kW
Sangli,Bahadurwadi,Walwa,School,Zilla Parishad School Bahadurwadi No.2,3kW
Sangli,Nibavde,Atpadi,School,Zilla Parishad Primary School Mahatmaphule Nagar ,2kW
Sangli,Kargani,Atpadi,Veterinary Hospital,Veterinary dispensary gr 1kargani,5kW
Sangli,Waghapur ,Tasgaon,School,Zilla Parishad School Waghpur ,5kW
Sangli,Bahadur Wadi,Walwa,School,Z . P.  School Bahadurwadi No.  2,3kW
Sangli,Arag ,Miraj,School,"Zilla Parishad School No. 2 Arag Taluka Miraj, Sangli",2kW
Sangli,Gawalewadi,Atpadi,School,Zilla Parishad Primary School Galewadi ,7kW
Sangli,Budhgaon,Miraj,School,Zilla Parishad School No.2 Budhgaon ,4kW
Sangli,Shetphale ,Atpadi,Health Subcenter,Shetphale AAM,3kW
Sangli,Kharale,Shirala,Health Subcenter,Arogya Vardini Kendra Kharale  ,2kW
Sangli,Padwalwadi,Shirala,School,Zilla Parishad School Padaliwadi ,5kW
Sangli,Arag,Miraj,School,Z.P.shala government colons arag,2kW
Sangli,Bharatwadi,Walwa,School,Zilla Parishad School Bharatwadi ,3kW
Sangli,Ankalgi,Jat,School,Zilla Parishad Primary Kannada School Ankalgi ,3kW
Sangli,Sonwde,Shirala,Health Subcenter,Arogya Sub Center Sonawde ,5kW
Sangli,Arag,Miraj,School,Z.P.School Government Colons Arag,2kW
Sangli,Sankh,Jat,School,Z.P Primary Kannad School Sankh,5kW
Sangli,Sankh,Jat,School,Z.P Kannada Primary School Biradar Vasti Sankh ,2kW
Sangli,Koregaon ,Walwa,Veterinary Hospital,State Veterinary Dispensary Koregaon Grade 2,10kW+
Sangli,Sankh,Jat,School,Z.P Primary Kannada School Malimala Sankh ,2kW
Sangli,Balgavade,Tasgaon,School,Z.p.school Balgavade,4kW
Sangli,Vithalwadi Amnapur,????,School,Z.P School Vitthalnagar Aamnapur ,2kW
Sangli,Dhavli,Walwa,Veterinary Hospital,State Veterinary Dispensary Grade 2,10kW+
Sangli,Kanegaon,Walwa,School, Zilla Parishad Sangli ,3kW
Sangli,Bavchi,Walwa,Veterinary Hospital,State veterinary dispensary Bavchi,3kW
Sangli,Charan,Shirala,Primary Health Center,PRIMARY HEALTH CENTER,10kW+
Sangli,Kundalwadi ,Walwa,School,Zilla Parishad School Kundalwadi ,10kW+
Sangli,Banpuri ,Atpadi,School,Zilla Parishad School Yamgarvasti ,2kW
Sangli,Bahadurwadi,Walwa,School,Zilla Parishad School Bahdurwadi No.1,3kW
Sangli,Sankh,Jat,School,Z.P Primary Kannada Kanya School Sankh,10kW+
Sangli,Aandhali,????,School, Zilla Parishad School Andhali,2kW
Sangli,Ankalgi,Jat,School,"Z.P Primary Kannada School Malivasti Akalgi Taluka Jath, Sangli ",2kW
Sangli,Sankh,Jat,School,Z.P Primary Kannada School Wagholi Vasti Sakh,5kW
Sangli,Budhgaon,Miraj,School,Zilla Parishad Urdu School Budhgaon ,4kW
Sangli,Malewadi,Walwa,School,Zilla Parishad School Malewadi ,4kW
Sangli,Yelur,Walwa,School,Zilla Parishad School Yelur ,4kW
Sangli,Bhatwadi ,Shirala,School,Z.P.School Bhatwadi ,3kW
Sangli,Galwewadi,Atpadi,School,Zilla Parishad School Khandoba Vasti,5kW
Sangli,Mardwadi,Walwa,School,Zilla Parishad School Mardwadi ,7kW
Sangli,Thorat Wasahat Rojawadi,Walwa,School,Zilla Parishad Primary School Thorat Vasahat  ,2kW
Sangli,Tandulwadi,Walwa,School,Zilla Parishad School Tandulwadi ,5kW
Sangli,Suslad,Jat,School,Zilla Parishad,4kW
Sangli,Basarkudi,Miraj,School,Zilla Parishad School Basurkundi ,5kW
Sangli,Madhavnagar,Miraj,Health Subcenter,Ayushman Arogya Mandir Madhavnagar ,3kW
Sangli,Karmale ,Shirala,Health Subcenter,HWC karmale ,3kW
Sangli,Baproti,Atpadi,School,Zilla Parishad,5kW
Sangli,Chinchani,Tasgaon,Primary Health Center,Primary health centre chinchani,10kW
Sangli,Nerli,Kadegaon,Health Subcenter,Ayushman Arogya Mandir Nerle,3kW
Sangli,Ankalagi ,Jat,School,Zilla Parishad Kannada Girls School  Ankalagi Tal-Jath ,3kW
Sangli,Jadhavwadi (Madalgaon),Shirala,School,Zilla Parishad School Jadhavwadi ,5kW
Sangli,Yelur,Walwa,School,Zilla Parishad School Shivaji Nagar Yelur,3kW
Sangli,Arag,Miraj,School,"Malati Neminath Chougule kanyashala &High.Sec.School,Arag Tal.Miraj Dist.Sangli",10kW
Sangli,Bhadkhambe,Walwa,School,Zilla Parishad School Bhadkambe ,2kW
Sangli,Malgaon ,Miraj,School,Zilla Parishad School Maliwasti Malgaon ,3kW
Sangli,Kokale,Kavthe Mahankal,Veterinary Hospital,Veterinary Dispensary Grade 2 Kokale ,2kW
Sangli,Umadi,Jat,School,Z.P. Kannada School Pujari Vasti Umdi ,5kW
Sangli,Ranmala (Pujarwadi),Atpadi,School,Zilla Parishad School Ranmala,2kW
Sangli,Sankh,Jat,School,Z.P.Kannada Boys School Sankh.,10kW
Sangli,Shigaon,Walwa,School,Z P School no 1 Shigaon,7kW
Sangli,Sankh,Jat,School,Z.P.Primary Kannada Girls Sankh,3kW
Sangli,Lingiware,Atpadi,School,Rayat Education Society,3kW
Sangli,Shetfale,Atpadi,School,Zilla Parishad Primary School Rebaimala,2kW
Sangli,Pujarwadi (Dighanchi),Atpadi,School,Zilla Parishad Primary School Pujarwadi (Di),3kW
Sangli,Bagani ,Walwa,School,Z P SCHOOL BAGANI NO 2 ,5kW
Sangli,Bagani ,Walwa,School,Zilla Parishad School Bagani No. 1,5kW
Sangli,Surul,Walwa,School,Zilla Parishad School Surul,3kW
Sangli,Arag ,Miraj,School,Z. P. School No. 1 Arag,4kW
Sangli,Shipur,Miraj,School,Zilla Parishad School Naik Chavan Vasti Shipur.,3kW
Sangli,Galwewadi ,Atpadi,School,Z.P. School Shivajinagar (Galvewadi) to Atpadi Ji Sangli,2kW
Sangli,Mirajwadi,Walwa,School,Zilla Parishad School Mirajwadi,4kW
Sangli,Natoli,Shirala,Health Subcenter,"Sc Natoli , PHC Sagaon",7kW
Sangli,Pujarwadi (Dighanchi),Atpadi,School,Zilla Parishad Primary School Tingrewasti (Pujarawadi),2kW
Sangli,Chinchani,Tasgaon,School,Zilla Parishad School Gawliwadi,2kW
Sangli,Bagani ,Walwa,School,Zilla Parishad School Nandoli Colony Bagani,2kW
Sangli, Chandoli Wasahat (Falkewadi),Walwa,School,Z. P. School Chandoli Colony (Phalkewadi),2kW
Sangli,Mondewadi,Shirala,School,Zilla Parishad School Mondewadi,2kW
Sangli,Hatnur,Tasgaon,Primary Health Center,PHC Hatnur,10kW+
Sangli,Dighanchi,Atpadi,School,Zilla Parishad Primary School Hanuman Dhonda,2kW
Sangli,Dhulgaon,Tasgaon,School,Z.P. School Dhulgaon,7kW
Sangli,Khanderajuri ,Miraj,School,Z. P. Shala Inamwasti (Khanderajuri),2kW
Sangli,Konoli vasahat yelur ,Walwa,School,Z.p.school konoli vasahat yelur ,5kW
Sangli,Bendri,Tasgaon,School,Zilla Parishad Primary School Bendri,3kW
Sangli,Khanderajuri,Miraj,School,Zilla Parishad Primary School Gandhinagar (Khanderajuri),4kW
Sangli,Suslad,Jat,Health Subcenter,Suslad,5kW
Sangli,Farnewadi (Shi),Walwa,School,"Z.P. School Farnewadi (Shi, )",3kW
Sangli,Mahadikwadi (Lingi),Atpadi,School,Zilla Parishad Primary School Mahadikwadi,2kW
Sangli,Nimbavade,Atpadi,School,Zilla Parishad,2kW
Sangli,Pujarwadi Atapadi ,Atpadi,School,Zilla Parishad School Pujarwadi Atpadi,2kW
Sangli,Shigaon,Walwa,School,Z.P. School No. 2 Shigaon,5kW
Sangli,Malgaon,Miraj,School,Zilla Parishad School Yashwantnagar Malgaon,2kW
Sangli,Falakewadi,Walwa,School,Zilla Parishad School Falkewadi,2kW
Sangli,Konoli vasahat yelur ,Walwa,School,Konoli Vasahat Yelur ,2kW
Sangli,Dholemala (Dighanchi),Atpadi,School,Z.P. School Dholemala Digchi,2kW
Sangli,Rojewadi,Atpadi,School,Zilla Parishad,4kW
Sangli,ROZAWADI ,Walwa,School,Z.P. Urdu School Rojawadi,2kW
Sangli,Malgaon,Miraj,School,Zilla Parishad School Sawantwasti Malgaon,1kW
Sangli,Soni,Miraj,School,Zilla Parishad School No. 1 Soni,10kW+
Sangli,Dighanchi ,Atpadi,Anganwadi,Varsha Rani Vinayak Kulkarni,10kW
Sangli,Kundal ,????,Anganwadi,Anganwadi-27531080402 No.-27,1kW
Sangli,Nimbavade,Atpadi,School,Zilla Parishad School No. 2 Nimbawade,4kW
Sangli,Lamantanada kaganri,Jat,School,Z p p kannada school lamantanada kaganri,4kW
Sangli,Thabadewadi,Kavthe Mahankal,School,Z.P.School Thabadewadi ,5kW
Sangli,Karoli M,Miraj,Anganwadi,No. 88 Karoli M Village Code No. 27531070311,10kW
Sangli,Malgaon,Miraj,Anganwadi,Anganwadi,5kW
Sangli,Dighanchi,Atpadi,Anganwadi,Kalapatta No. 23 Hanuman Dhonda Dighanchi,10kW+
Sangli,Khotwasti (Lengarewadi),Atpadi,School,Zilla Parishad Primary School Khot Vasti,3kW
Sangli,Dighanchi,Atpadi,Anganwadi,"Holar Samaj Co.,118",7kW
Sangli,Jirgyal,Jat,School,Dist. P.Kendrashala Jirgyal,5kW
Sangli,Balgaon,Jat,Health Subcenter,Ayushman Arogya Mandir Balgaon,5kW
Sangli,Ghanchakramala Dighanchi,Atpadi,School,District School Ghanchakramala,7kW
Sangli,Nimani,Tasgaon,Health Subcenter,Ayushman Arogya Mandir Nimani,4kW
Sangli,Dighanchi,Atpadi,Anganwadi,Holar Society,7kW
Sangli,Belondagi ,Jat,Health Subcenter,AYUUSHMAN AROGYA MANDIR BELONDAGI ,10kW
Sangli,Girgoan,Jat,Health Subcenter,Ayushman arogya mandir giragon,3kW
Sangli,Tikondi,Jat,Health Subcenter,Ayushman  Arogya Mandir ,10kW
Sangli,Kinrewadi,Shirala,Health Subcenter,Ayushman  Arogya Mandir ,3kW
Sangli,Dighanchi,Atpadi,Anganwadi,Holar Samaj,10kW+
Sangli,Mendhigiri ,Jat,Health Subcenter,Mendhigiri,5kW
Sangli,Bilur,Jat,Primary Health Center,"Primary Health Centre,  Bilur",10kW+
Sangli,Dhiganchi ,Atpadi,Anganwadi,Anganwadi Nalvasti Dighanchi Center No. 159,10kW+
Sangli,Rojewadi ,Atpadi,School,"Zilla Parishad School, Kalamala (Rajewadi)",10kW+
Sangli,Yelvi,Jat,Health Subcenter,Sub centre Yelvi ,5kW
Sangli,Dhiganchi ,Atpadi,Anganwadi,PHC,5kW
Sangli,Atpadi,Atpadi,School,Zilla Parishad Primary School Khatkalimala,2kW
Sangli,Dudhgaon,Miraj,School,Babaso Nangonda Patil English Medium School Dudhgaon,2kW
Sangli,Hatnoli 115,Tasgaon,Anganwadi,Integrated Child Development Service Scheme Tasgaon,1kW
Sangli,Revnal,Jat,Health Subcenter,Ayushman Arogya Mandir Revnal,10kW
Sangli,Utagi,Jat,Health Subcenter,Ayushman Arogya Mandir Utgi,10kW
Sangli,Malgaon,Miraj,Anganwadi,ICD S Panchayat Samiti Miraj,7kW
Sangli,Agalgaon,Kavthe Mahankal,School,Zilla Parishad School Gaikwadvasti Agalgaon,3kW
Sangli,JADHAVWADI ,Kavthe Mahankal,School,Z p school Jadhavwadi  km,2kW
Sangli,Kuchi ,Kavthe Mahankal,School,Z P SCHOOL NO 1KUCHI ,4kW
Sangli,Nimbavade ,Atpadi,School,Zilla Parishad School Ahilyanagar (Nimb),2kW
Sangli,Ko.Boblad,Jat,Health Subcenter,HWC Ko.boblad,3kW
Sangli,Yeldari ,Jat,Health Subcenter,HWC Yeldari ,3kW
Sangli,NAGAJ,Kavthe Mahankal,School,Z. P. School NAGAJ ,5kW
Sangli,Malinagar (Ranjani),Kavthe Mahankal,School,"Z.P.School, Malinagar Ranjani ",2kW
Sangli,Rajewadi ,Atpadi,Anganwadi,Satputegalli 154,10kW+
Sangli,Kavthe Mahankal,Kavthe Mahankal,School,Zilla Parishad School No. 2 Kavthemahankal Taluka Kavthemahankal District Sangli,2kW
Sangli,Alkud S,Kavthe Mahankal,School,Z.P. School Panchamnagar,3kW
Sangli,Shindewadi h ,Kavthe Mahankal,School,Z.P. School Bodgirevasti ( Shindewadi H ),3kW
Sangli,Jambhulwadi ,Walwa,School,Z.P. School Jambhulwadi ,7kW
Sangli,Borgaon ,Walwa,Anganwadi,Anganwadi No. 194,1kW
Sangli,Achakanahalli ,Jat,Health Subcenter,Health and wellness center Achakanahalli ,10kW
Sangli,Dhalgaon,Kavthe Mahankal,School,Zilla Parishad School Dhalgaon,4kW
Sangli,Kavthemahankal,Kavthe Mahankal,School,Zilla Parishad School Vidyanagar Kavathe Mahankal,2kW
Sangli,Vakurde Khurd,Shirala,School,Zilla Parishad,4kW
Sangli,Bhiwargi,Jat,School,Zilla Parishad Kannada School Bhivargi,5kW
Sangli,Nawekhed,Walwa,Anganwadi,Anganwadi No. 377,1kW
Sangli,Junekhed,Walwa,Anganwadi,Anganwadi No. 96,1kW
Sangli,Vithurayachiwadi,Kavthe Mahankal,School,Zip School Karandenagar (Vithurayachiwadi),2kW
Sangli,Narasimhagaon,Kavthe Mahankal,School,Zilla Parishad School Narsinghgaon,10kW+
Sangli,Raiwadi,Kavthe Mahankal,School,Zilla Parishad School Raiwadi,10kW+
Sangli,Vithuraayachiwadi,Kavthe Mahankal,School,Zilla Parishad School Vithurayachiwadi,2kW
Sangli,Mhaishal (M),Kavthe Mahankal,School,Zilla Parishad,2kW
Sangli,"Jadhavwadi, Madalgaon",Shirala,School,"Z.P. School,- Jadhavwadi.",4kW
Sangli,Ramdas kuchi,Kavthe Mahankal,School,Z .P.School Ramdas kuchi,4kW
Sangli,Karajagi ,Jat,Health Subcenter,Karajagi ,5kW
Sangli,Waifale,Tasgaon,School,"Zilla Parishad Primary School, Waifale, Tasgaon, Sangli District",5kW
Sangli,Malivasti Kathemahankal,Kavthe Mahankal,School,Z.P.School Malivasti K.M.,2kW
Sangli,Hwc -Rampur,Jat,Health Subcenter,Hwc-Rampur ,7kW
Sangli,Hwc-Birnal ,Jat,Health Subcenter,Hwc-Birnal ,7kW
Sangli,Hwc-Nigadi khurd,Jat,Health Subcenter,HwcNigadi khurd,7kW
Sangli,Kavthemahankal,Kavthe Mahankal,School,Zilla Parishad School No.-3 Kavthemahankal,5kW
Sangli,Kavthemahankal,Kavthe Mahankal,School,Zilla Parishad School No.3 Kavthemahankal,5kW
Sangli,Moghamwadi,Kavthe Mahankal,School,Dist. W. School Moghamwadi,2kW
Sangli,Haroli,Kavthe Mahankal,Anganwadi,Haroli 43,1kW
Sangli,Madhavnagar ,Miraj,School,Z.p.urdu school Madhavnagar ,10kW
Sangli,Ganeshnagar,Kavthe Mahankal,School,Zilla Parishad,2kW
Sangli,Umrani,Jat,Health Subcenter,Hwc umrani,7kW
Sangli,Savlaj,Tasgaon,Anganwadi,Savalj (175) 27531110708,1kW
Sangli,Dhulgaon,Tasgaon,Anganwadi,A.B.V. Seva. Yojana. Tasgaon,1kW
Sangli,Kumthe ??,Tasgaon,Anganwadi,A. B. V. Seva. Yojana. Tasgaon,1kW
Sangli,Kumthe. ??,Tasgaon,Anganwadi,ABVSE Scheme Tasgaon,1kW
Sangli,Haroli,Kavthe Mahankal,Anganwadi,Haroli Anganwadi 43,1kW
Sangli,Z P Primary Kannad School Avaralwasti Morabagi ,Jat,School,Z P Primary Kannad School Avaralwasti Morabagi ,7kW
Sangli,Haroli,Kavthe Mahankal,Anganwadi,Anganwadi Haroli 43,1kW
Sangli,Z P Primary Kannad School Avaralwasti Morabagi ,Jat,School,Z P Primary Kannad School Avaralwasti Morabagi ,7kW
Sangli,Kumthe,Tasgaon,Anganwadi,Kumthe 65 (27531110506),1kW
Sangli,Lonarwadi ,Kavthe Mahankal,Anganwadi,Satpute  Koleker wasti,5kW
Sangli,Shindewadi h ,Kavthe Mahankal,Anganwadi,Anganwadi 31,5kW
Sangli,Kumthe,Tasgaon,Anganwadi,Kumthe 67 (27531110508),1kW
Sangli,Lonarwadi ,Kavthe Mahankal,Anganwadi,Satpute Koleker wasti,5kW
Sangli,Deshing ,Kavthe Mahankal,School,Z.P.School No1 Deshing,2kW
Sangli,Uplavi,Tasgaon,Anganwadi,Upalavi 69 (2753110529),1kW
Sangli,Uplavi,Tasgaon,Anganwadi,Upalavi 72 (2753110532),1kW
Sangli,Kapuskhed ,Walwa,Anganwadi,Angwadi ,10kW+
Sangli,Suryavanshinagar (Ankalkhop),????,School,Zilla Parishad School Suryavanshinagar (Ankalkhop),2kW
Sangli,Sambarwadi ,Miraj,Health Subcenter,AAM Sambarwadi ,3kW
Sangli,Ranjani (Malinagar),Kavthe Mahankal,Anganwadi,Angwadi ,10kW+
Sangli,Manerajuri,Tasgaon,Anganwadi,Manerajuri 46 (27531110513),1kW
Sangli,Manerajuri,Tasgaon,Anganwadi,Manerajuri 54 (2753110521),1kW
Sangli,Agran Dhulgaon,Kavthe Mahankal,Anganwadi,Anganwadi Railway Station,7kW
Sangli,Bhiravwadi,Tasgaon,Anganwadi,Integrated Child Development Service Scheme Project Tasgaon,1kW
Sangli,Manerajuri,Tasgaon,Anganwadi,Manerajuri 55 Ramlinga Nagar (2753110522),1kW
Sangli,Chinchani,Tasgaon,Anganwadi,Chinchani m 27,1kW
Sangli,Dighanchi,Atpadi,Anganwadi,Holar Samaj,10kW+
Sangli,Deshing,Kavthe Mahankal,Anganwadi,Wandre Patil Vasti,10kW+
Sangli,Agran dhulgoan ,Kavthe Mahankal,Anganwadi,Agran dhulgoan 121,10kW+
Sangli,Kavtheekand,Tasgaon,Anganwadi,Kavathe Ekand 79,1kW
Sangli,Kavtheekand,Tasgaon,Anganwadi,Kavathe Ekand 80,1kW
Sangli,Dighanchi,Atpadi,Anganwadi,Dighanchi No. 1 No. 28,10kW
Sangli,Agran dhulgoan ,Kavthe Mahankal,Anganwadi,Agran dhulgoan 122,10kW+
Sangli,Kavtheekand,Tasgaon,Anganwadi,Kavathe Ekand 81,1kW
Sangli,Lonarwadi,Kavthe Mahankal,Anganwadi,Satpute Kolekar Vasti,5kW
Sangli,Karalhatti,Kavthe Mahankal,Anganwadi,Karlhatti Gaivat No. 136,2kW
Sangli,Kavtheekand,Tasgaon,Anganwadi,Kavathe Ekand 84,1kW
Sangli,Dhavali,Tasgaon,Health Subcenter,Ayushman Arogya Mandir Dhavali,3kW
Sangli,Balgavde ,Tasgaon,Anganwadi,Balgavde M53.  27531110803,1kW
Sangli,Kavtheekand,Tasgaon,Anganwadi,Kavathe Ekand Yam 23,1kW
Sangli,Manjarde,Tasgaon,Anganwadi,Manjarde,1kW
Sangli,Zurewadi,Kavthe Mahankal,School,Zilla Parishad School Zhurewadi,3kW
Sangli,Nagaon Kavthe,Tasgaon,Anganwadi,Nagaon Kavathe 76,1kW
Sangli,Lingiware,Atpadi,Anganwadi,Mahadikvadi,10kW+
Sangli,Matkunki,Tasgaon,Anganwadi,Matkunki 88,1kW
Sangli,Matkunki,Tasgaon,Anganwadi,Matkunki M 35,1kW
Sangli,Savarde,Tasgaon,Anganwadi,Sawarde 98,1kW
Sangli,Ranjani,Kavthe Mahankal,Anganwadi,Limbawadi No-142,5kW
Sangli,Savarde,Tasgaon,Anganwadi,Sawarde 99,1kW
Sangli,Savarde,Tasgaon,Anganwadi,Sawarde 100,1kW
Sangli,Kuchi,Kavthe Mahankal,Anganwadi,Devidas Vasti Kuchi Anganwadi No. 63,10kW
Sangli,Agran dhulgaon ,Kavthe Mahankal,Anganwadi,Kanap vasti,10kW+
Sangli,Borban,????,School,Zilla Parishad School,2kW
Sangli,Karoli T,Kavthe Mahankal,Anganwadi,Anganwadi No. 110,5kW
Sangli,Kokale ,Kavthe Mahankal,Anganwadi,Koularu Mala Kokale,10kW+
Sangli,Kapurgaon,Tasgaon,Anganwadi,Kapur Village 123,1kW
Sangli,Kundal,????,School,"Z P School Siddheshwarnagar, Kundal",2kW
Sangli,Limbgaon,Tasgaon,Anganwadi,Limbgaon 121,1kW
Sangli,Ranjani,Kavthe Mahankal,Anganwadi,Sharda Shamrao Bhonsale,10kW+
Sangli,Visapur,Tasgaon,Anganwadi,Visapur 110,1kW
Sangli,Jakhapur-Santoshnagar,Kavthe Mahankal,Anganwadi,Angwadi ,2kW
Sangli,Basapachiwadi,Kavthe Mahankal,Anganwadi,Masalvasti ,5kW
Sangli,Utagi,Jat,School,District Kannada School Girish Farm Utgi,7kW
Sangli,Thombarewadi ,Atpadi,Anganwadi,Thombarewadi ,7kW
Sangli,Dighanchi,Atpadi,Anganwadi,Asha Mahesh Gadhave,10kW+
Sangli,Agalgaon ,Kavthe Mahankal,Anganwadi,Integrated Child Development Service Scheme,1kW
Sangli,Manjarde ,Tasgaon,Anganwadi,Manjarde,1kW
